movieId,title,genres,title_name,title_name_tokens,title_mapped
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Usual Suspects, The","{'usual', 'suspects'}",The Usual Suspects
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mighty Aphrodite,"{'aphrodite', 'mighty'}",Mighty Aphrodite
53,Lamerica (1994),Adventure|Drama,Lamerica,{'lamerica'},Lamerica
54,"Big Green, The (1995)",Children|Comedy,"Big Green, The","{'big', 'green'}",The Big Green
55,Georgia (1995),Drama,Georgia,{'georgia'},Georgia
57,Home for the Holidays (1995),Drama,Home for the Holidays,"{'home', 'holidays', 'for'}",Home for the Holidays
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"Postman, The (Postino, Il)","{'postino', 'postman', 'il'}",The Postman
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Indian in the Cupboard, The","{'in', 'indian', 'cupboard'}",The Indian in the Cupboard
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye,"{'eye', 'for'}",Eye for an Eye
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus,"{'opus', 'mr', 'hollands'}",Mr. Holland's Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"{'south', 'to', 'while', 'juice', 'hood', 'your', 'menace', 'dont', 'be', 'drinking', 'in', 'central'}",Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,Two if by Sea (1996),Comedy|Romance,Two if by Sea,"{'two', 'by', 'sea', 'if'}",Two If by Sea
65,Bio-Dome (1996),Comedy,Bio-Dome,{'biodome'},Bio-Dome
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,"{'beyond', 'lawnmower', 'cyberspace', '2', 'man'}",Lawnmower Man 2: Beyond Cyberspace
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist (Gazon maudit),"{'twist', 'gazon', 'french', 'maudit'}",French Twist
69,Friday (1995),Comedy,Friday,{'friday'},Friday
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,From Dusk Till Dawn,"{'till', 'dusk', 'from', 'dawn'}",From Dusk Till Dawn
71,Fair Game (1995),Action,Fair Game,"{'game', 'fair'}",Fair Game
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming,"{'kicking', 'screaming', 'and'}",Kicking and Screaming
73,"Misérables, Les (1995)",Drama|War,"Misérables, Les","{'les', 'misérables'}",Les Misérables
74,Bed of Roses (1996),Drama|Romance,Bed of Roses,"{'of', 'bed', 'roses'}",Bed of Roses
75,Big Bully (1996),Comedy|Drama,Big Bully,"{'big', 'bully'}",Big Bully
76,Screamers (1995),Action|Sci-Fi|Thriller,Screamers,{'screamers'},Screamers
77,Nico Icon (1995),Documentary,Nico Icon,"{'icon', 'nico'}",Nico Icon
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"Crossing Guard, The","{'crossing', 'guard'}",The Crossing Guard
79,"Juror, The (1996)",Drama|Thriller,"Juror, The",{'juror'},The Juror
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"White Balloon, The (Badkonake sefid)","{'sefid', 'balloon', 'badkonake', 'white'}",The White Balloon
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver When You're Dead,"{'to', 'things', 'youre', 'dead', 'when', 'do', 'denver', 'in'}",Things to Do in Denver When You're Dead
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Antonia's Line (Antonia),"{'line', 'antonia', 'antonias'}",Antonia's Line
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Once Upon a Time... When We Were Colored,"{'upon', 'time', 'when', 'we', 'were', 'once', 'colored'}",Once Upon a Time... When We Were Colored
85,Angels and Insects (1995),Drama|Romance,Angels and Insects,"{'insects', 'angels', 'and'}",Angels and Insects
86,White Squall (1996),Action|Adventure|Drama,White Squall,"{'squall', 'white'}",White Squall
87,Dunston Checks In (1996),Children|Comedy,Dunston Checks In,"{'in', 'dunston', 'checks'}",Dunston Checks In
88,Black Sheep (1996),Comedy,Black Sheep,"{'sheep', 'black'}",Black Sheep
89,Nick of Time (1995),Action|Thriller,Nick of Time,"{'of', 'nick', 'time'}",Nick of Time
92,Mary Reilly (1996),Drama|Horror|Thriller,Mary Reilly,"{'reilly', 'mary'}",Mary Reilly
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Vampire in Brooklyn,"{'in', 'vampire', 'brooklyn'}",Vampire in Brooklyn
94,Beautiful Girls (1996),Comedy|Drama|Romance,Beautiful Girls,"{'beautiful', 'girls'}",Beautiful Girls
95,Broken Arrow (1996),Action|Adventure|Thriller,Broken Arrow,"{'arrow', 'broken'}",Broken Arrow
96,In the Bleak Midwinter (1995),Comedy|Drama,In the Bleak Midwinter,"{'in', 'midwinter', 'bleak'}",In & Out
97,"Hate (Haine, La) (1995)",Crime|Drama,"Hate (Haine, La)","{'haine', 'la', 'hate'}",La Haine
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam,"{'heidi', 'hollywood', 'fleiss', 'madam'}",Heidi Fleiss: Hollywood Madam
100,City Hall (1996),Drama|Thriller,City Hall,"{'city', 'hall'}",City Hall
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Bottle Rocket,"{'rocket', 'bottle'}",Bottle Rocket
102,Mr. Wrong (1996),Comedy,Mr. Wrong,"{'mr', 'wrong'}",Mr. Wrong
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Unforgettable,{'unforgettable'},Unforgettable
104,Happy Gilmore (1996),Comedy,Happy Gilmore,"{'happy', 'gilmore'}",Happy Gilmore
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Bridges of Madison County, The","{'of', 'county', 'bridges', 'madison'}",The Bridges of Madison County
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Nobody Loves Me (Keiner liebt mich),"{'me', 'liebt', 'keiner', 'nobody', 'mich', 'loves'}",Nobody Loves Me
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Muppet Treasure Island,"{'treasure', 'muppet', 'island'}",Muppet Treasure Island
108,Catwalk (1996),Documentary,Catwalk,{'catwalk'},Catwalk
110,Braveheart (1995),Action|Drama|War,Braveheart,{'braveheart'},Braveheart
111,Taxi Driver (1976),Crime|Drama|Thriller,Taxi Driver,"{'taxi', 'driver'}",Taxi Driver
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Rumble in the Bronx (Hont faan kui),"{'bronx', 'hont', 'kui', 'faan', 'rumble', 'in'}",Rumble in the Bronx
113,Before and After (1996),Drama|Mystery,Before and After,"{'after', 'before', 'and'}",Before and After
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered,"{'anne', 'remembered', 'frank'}",Anne Frank Remembered
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,"Young Poisoner's Handbook, The","{'young', 'poisoners', 'handbook'}",The Young Poisoner's Handbook
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell,"{'lucy', 'fell', 'if'}",If Lucy Fell
119,"Steal Big, Steal Little (1995)",Comedy,"Steal Big, Steal Little","{'steal', 'big', 'little'}",Steal Big Steal Little
121,"Boys of St. Vincent, The (1992)",Drama,"Boys of St. Vincent, The","{'of', 'st', 'boys', 'vincent'}",The Boys of St. Vincent
122,Boomerang (1992),Comedy|Romance,Boomerang,{'boomerang'},Boomerang
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Chungking Express (Chung Hing sam lam),"{'chungking', 'sam', 'chung', 'express', 'lam', 'hing'}",Chungking Express
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster,"{'disaster', 'with', 'flirting'}",Flirting with Disaster
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,"NeverEnding Story III, The","{'iii', 'story', 'neverending'}",The NeverEnding Story
128,Jupiter's Wife (1994),Documentary,Jupiter's Wife,"{'jupiters', 'wife'}",Jupiter's Wife
129,Pie in the Sky (1996),Comedy|Romance,Pie in the Sky,"{'in', 'sky', 'pie'}",Pie in the Sky
132,Jade (1995),Thriller,Jade,{'jade'},Jade
135,Down Periscope (1996),Comedy,Down Periscope,"{'down', 'periscope'}",Down Periscope
137,Man of the Year (1995),Documentary,Man of the Year,"{'of', 'year', 'man'}",Man of the Year
140,Up Close and Personal (1996),Drama|Romance,Up Close and Personal,"{'up', 'personal', 'close', 'and'}",Up Close & Personal
141,"Birdcage, The (1996)",Comedy,"Birdcage, The",{'birdcage'},The Birdcage
144,"Brothers McMullen, The (1995)",Comedy,"Brothers McMullen, The","{'brothers', 'mcmullen'}",The Brothers McMullen
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Bad Boys,"{'bad', 'boys'}",Bad Boys
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,"Amazing Panda Adventure, The","{'panda', 'amazing', 'adventure'}",The Amazing Panda Adventure
147,"Basketball Diaries, The (1995)",Drama,"Basketball Diaries, The","{'basketball', 'diaries'}",The Basketball Diaries
148,"Awfully Big Adventure, An (1995)",Drama,"Awfully Big Adventure, An","{'big', 'adventure', 'awfully'}",An Awfully Big Adventure
149,Amateur (1994),Crime|Drama|Thriller,Amateur,{'amateur'},Amateur
150,Apollo 13 (1995),Adventure|Drama|IMAX,Apollo 13,"{'apollo', '13'}",Apollo 13
151,Rob Roy (1995),Action|Drama|Romance|War,Rob Roy,"{'roy', 'rob'}",Rob Roy
152,"Addiction, The (1995)",Drama|Horror,"Addiction, The",{'addiction'},The Addiction
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever,"{'forever', 'batman'}",Batman Forever
154,Beauty of the Day (Belle de jour) (1967),Drama,Beauty of the Day (Belle de jour),"{'of', 'day', 'beauty', 'de', 'belle', 'jour'}",Belle de Jour
155,Beyond Rangoon (1995),Adventure|Drama|War,Beyond Rangoon,"{'rangoon', 'beyond'}",Beyond Rangoon
156,Blue in the Face (1995),Comedy|Drama,Blue in the Face,"{'blue', 'in', 'face'}",Blue in the Face
157,Canadian Bacon (1995),Comedy|War,Canadian Bacon,"{'bacon', 'canadian'}",Canadian Bacon
158,Casper (1995),Adventure|Children,Casper,{'casper'},Casper
159,Clockers (1995),Crime|Drama|Mystery,Clockers,{'clockers'},Clockers
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo,{'congo'},Congo
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide,"{'tide', 'crimson'}",Crimson Tide
162,Crumb (1994),Documentary,Crumb,{'crumb'},Crumb
163,Desperado (1995),Action|Romance|Western,Desperado,{'desperado'},Desperado
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress,"{'in', 'devil', 'blue', 'dress'}",Devil in a Blue Dress
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Die Hard: With a Vengeance,"{'vengeance', 'hard', 'die', 'with'}",Die Hard: With a Vengeance
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,"Doom Generation, The","{'doom', 'generation'}",The Doom Generation
168,First Knight (1995),Action|Drama|Romance,First Knight,"{'first', 'knight'}",First Knight
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Free Willy 2: The Adventure Home,"{'free', 'home', 'adventure', 'willy', '2'}",Free Willy 2 - The Adventure Home
170,Hackers (1995),Action|Adventure|Crime|Thriller,Hackers,{'hackers'},Hackers
171,Jeffrey (1995),Comedy|Drama,Jeffrey,{'jeffrey'},Jeffrey
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Johnny Mnemonic,"{'johnny', 'mnemonic'}",Johnny Mnemonic
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Judge Dredd,"{'judge', 'dredd'}",Judge Dredd
174,Jury Duty (1995),Comedy,Jury Duty,"{'duty', 'jury'}",Jury Duty
175,Kids (1995),Drama,Kids,{'kids'},Kids
176,Living in Oblivion (1995),Comedy,Living in Oblivion,"{'in', 'oblivion', 'living'}",Living in Oblivion
177,Lord of Illusions (1995),Horror,Lord of Illusions,"{'of', 'lord', 'illusions'}",Lord of Illusions
178,Love & Human Remains (1993),Comedy|Drama,Love & Human Remains,"{'love', 'remains', 'human'}",Love & Human Remains
179,Mad Love (1995),Drama|Romance,Mad Love,"{'love', 'mad'}",Mad Love
180,Mallrats (1995),Comedy|Romance,Mallrats,{'mallrats'},Mallrats
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Mighty Morphin Power Rangers: The Movie,"{'mighty', 'morphin', 'rangers', 'power', 'movie'}",Mighty Morphin Power Rangers: The Movie
183,Mute Witness (1994),Comedy|Horror|Thriller,Mute Witness,"{'witness', 'mute'}",Mute Witness
184,Nadja (1994),Drama,Nadja,{'nadja'},Nadja
185,"Net, The (1995)",Action|Crime|Thriller,"Net, The",{'net'},The Net
186,Nine Months (1995),Comedy|Romance,Nine Months,"{'months', 'nine'}",Nine Months
187,Party Girl (1995),Comedy,Party Girl,"{'party', 'girl'}",Party Girl
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,"Prophecy, The",{'prophecy'},The Prophecy
189,Reckless (1995),Comedy|Fantasy,Reckless,{'reckless'},Reckless
190,Safe (1995),Thriller,Safe,{'safe'},Safe
191,"Scarlet Letter, The (1995)",Drama|Romance,"Scarlet Letter, The","{'letter', 'scarlet'}",The Scarlet Letter
193,Showgirls (1995),Drama,Showgirls,{'showgirls'},Showgirls
194,Smoke (1995),Comedy|Drama,Smoke,{'smoke'},Smoke
195,Something to Talk About (1995),Comedy|Drama|Romance,Something to Talk About,"{'to', 'something', 'about', 'talk'}",Something to Talk About
196,Species (1995),Horror|Sci-Fi,Species,{'species'},Species
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Strange Days,"{'strange', 'days'}",Strange Days
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)","{'of', 'parapluies', 'les', 'de', 'cherbourg', 'umbrellas'}",The Umbrellas of Cherbourg
201,Three Wishes (1995),Drama|Fantasy,Three Wishes,"{'wishes', 'three'}",Three Wishes
202,Total Eclipse (1995),Drama|Romance,Total Eclipse,"{'eclipse', 'total'}",Total Eclipse
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar","{'to', 'foo', 'wong', 'julie', 'newmar', 'thanks', 'for', 'everything'}","To Wong Foo, Thanks for Everything! Julie Newmar"
204,Under Siege 2: Dark Territory (1995),Action,Under Siege 2: Dark Territory,"{'under', 'territory', 'siege', '2', 'dark'}",Under Siege 2: Dark Territory
205,Unstrung Heroes (1995),Comedy|Drama,Unstrung Heroes,"{'unstrung', 'heroes'}",Unstrung Heroes
206,Unzipped (1995),Documentary,Unzipped,{'unzipped'},Unzipped
207,"Walk in the Clouds, A (1995)",Drama|Romance,"Walk in the Clouds, A","{'in', 'clouds', 'walk'}",A Walk in the Clouds
208,Waterworld (1995),Action|Adventure|Sci-Fi,Waterworld,{'waterworld'},Waterworld
209,White Man's Burden (1995),Drama,White Man's Burden,"{'burden', 'mans', 'white'}",White Man's Burden
210,Wild Bill (1995),Western,Wild Bill,"{'wild', 'bill'}",Wild Bill
211,"Browning Version, The (1994)",Drama,"Browning Version, The","{'version', 'browning'}",The Browning Version
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Bushwhacked,{'bushwhacked'},Bushwhacked
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Burnt by the Sun (Utomlyonnye solntsem),"{'sun', 'utomlyonnye', 'by', 'solntsem', 'burnt'}",Burnt by the Sun
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Before the Rain (Pred dozhdot),"{'rain', 'pred', 'before', 'dozhdot'}",Before the Rain
215,Before Sunrise (1995),Drama|Romance,Before Sunrise,"{'before', 'sunrise'}",Before Sunrise
216,Billy Madison (1995),Comedy,Billy Madison,"{'billy', 'madison'}",Billy Madison
217,"Babysitter, The (1995)",Drama|Thriller,"Babysitter, The",{'babysitter'},The Babysitter
218,Boys on the Side (1995),Comedy|Drama,Boys on the Side,"{'on', 'boys', 'side'}",Boys on the Side
219,"Cure, The (1995)",Drama,"Cure, The",{'cure'},The Cure
220,Castle Freak (1995),Horror,Castle Freak,"{'freak', 'castle'}",Castle Freak
222,Circle of Friends (1995),Drama|Romance,Circle of Friends,"{'of', 'friends', 'circle'}",Circle of Friends
223,Clerks (1994),Comedy,Clerks,{'clerks'},Clerks
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Don Juan DeMarco,"{'juan', 'don', 'demarco'}",Don Juan DeMarco
225,Disclosure (1994),Drama|Thriller,Disclosure,{'disclosure'},Disclosure
227,Drop Zone (1994),Action|Thriller,Drop Zone,"{'zone', 'drop'}",Drop Zone
228,Destiny Turns on the Radio (1995),Comedy,Destiny Turns on the Radio,"{'radio', 'on', 'turns', 'destiny'}",Destiny Turns on the Radio
229,Death and the Maiden (1994),Drama|Thriller,Death and the Maiden,"{'death', 'maiden', 'and'}",Death and the Maiden
230,Dolores Claiborne (1995),Drama|Thriller,Dolores Claiborne,"{'dolores', 'claiborne'}",Dolores Claiborne
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Dumb & Dumber (Dumb and Dumber),"{'dumb', 'dumber', 'and'}",Dumb and Dumber
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Eat Drink Man Woman (Yin shi nan nu),"{'drink', 'woman', 'nu', 'yin', 'shi', 'man', 'eat', 'nan'}",Eat Drink Man Woman
233,Exotica (1994),Drama,Exotica,{'exotica'},Exotica
234,Exit to Eden (1994),Comedy,Exit to Eden,"{'to', 'exit', 'eden'}",Exit to Eden
235,Ed Wood (1994),Comedy|Drama,Ed Wood,"{'ed', 'wood'}",Ed Wood
236,French Kiss (1995),Action|Comedy|Romance,French Kiss,"{'french', 'kiss'}",French Kiss
237,Forget Paris (1995),Comedy|Romance,Forget Paris,"{'forget', 'paris'}",Forget Paris
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Far From Home: The Adventures of Yellow Dog,"{'of', 'far', 'home', 'from', 'dog', 'adventures', 'yellow'}",Far from Home: The Adventures of Yellow Dog
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,"Goofy Movie, A","{'movie', 'goofy'}",A Goofy Movie
240,Hideaway (1995),Thriller,Hideaway,{'hideaway'},Hideaway
241,Fluke (1995),Children|Drama,Fluke,{'fluke'},Fluke
242,Farinelli: il castrato (1994),Drama|Musical,Farinelli: il castrato,"{'castrato', 'il', 'farinelli'}",Farinelli
243,Gordy (1995),Children|Comedy|Fantasy,Gordy,{'gordy'},Gordy
246,Hoop Dreams (1994),Documentary,Hoop Dreams,"{'dreams', 'hoop'}",Hoop Dreams
247,Heavenly Creatures (1994),Crime|Drama,Heavenly Creatures,"{'heavenly', 'creatures'}",Heavenly Creatures
248,Houseguest (1994),Comedy,Houseguest,{'houseguest'},Houseguest
249,Immortal Beloved (1994),Drama|Romance,Immortal Beloved,"{'immortal', 'beloved'}",Immortal Beloved
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Heavyweights (Heavy Weights),"{'weights', 'heavyweights', 'heavy'}",Heavyweights
251,"Hunted, The (1995)",Action,"Hunted, The",{'hunted'},The Hunted
252,I.Q. (1994),Comedy|Romance,I.Q.,{'iq'},I.Q.
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Interview with the Vampire: The Vampire Chronicles,"{'interview', 'vampire', 'with', 'chronicles'}",Interview with the Vampire
254,Jefferson in Paris (1995),Drama,Jefferson in Paris,"{'in', 'jefferson', 'paris'}",Jefferson in Paris
255,"Jerky Boys, The (1995)",Comedy,"Jerky Boys, The","{'boys', 'jerky'}",The Jerky Boys
256,Junior (1994),Comedy|Sci-Fi,Junior,{'junior'},Junior
257,Just Cause (1995),Mystery|Thriller,Just Cause,"{'cause', 'just'}",Just Cause
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,"Kid in King Arthur's Court, A","{'kid', 'king', 'court', 'arthurs', 'in'}",A Kid in King Arthur's Court
259,Kiss of Death (1995),Crime|Drama|Thriller,Kiss of Death,"{'of', 'death', 'kiss'}",Kiss of Death
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,Star Wars: Episode IV - A New Hope,"{'wars', 'new', 'episode', 'iv', 'star', 'hope'}",Comic-Con Episode IV: A Fan's Hope
261,Little Women (1994),Drama,Little Women,"{'little', 'women'}",Little Women
262,"Little Princess, A (1995)",Children|Drama,"Little Princess, A","{'princess', 'little'}",A Little Princess
263,Ladybird Ladybird (1994),Drama,Ladybird Ladybird,{'ladybird'},Ladybird Ladybird
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Like Water for Chocolate (Como agua para chocolate),"{'como', 'agua', 'para', 'like', 'water', 'chocolate', 'for'}",Like Water for Chocolate
266,Legends of the Fall (1994),Drama|Romance|War|Western,Legends of the Fall,"{'of', 'legends', 'fall'}",Legends of the Fall
267,Major Payne (1995),Comedy,Major Payne,"{'payne', 'major'}",Major Payne
269,My Crazy Life (Mi vida loca) (1993),Drama,My Crazy Life (Mi vida loca),"{'mi', 'loca', 'crazy', 'my', 'vida', 'life'}",Mi Vida Loca
270,Love Affair (1994),Drama|Romance,Love Affair,"{'love', 'affair'}",Love Affair
271,Losing Isaiah (1995),Drama,Losing Isaiah,"{'losing', 'isaiah'}",Losing Isaiah
272,"Madness of King George, The (1994)",Comedy|Drama,"Madness of King George, The","{'of', 'george', 'madness', 'king'}",The Madness of King George
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Mary Shelley's Frankenstein (Frankenstein),"{'frankenstein', 'mary', 'shelleys'}",Mary Shelley's Frankenstein
274,Man of the House (1995),Comedy,Man of the House,"{'of', 'house', 'man'}",Man of the House
275,Mixed Nuts (1994),Comedy,Mixed Nuts,"{'mixed', 'nuts'}",Mixed Nuts
276,Milk Money (1994),Comedy|Romance,Milk Money,"{'money', 'milk'}",Milk Money
277,Miracle on 34th Street (1994),Drama,Miracle on 34th Street,"{'miracle', 'on', 'street', '34th'}",Miracle on 34th Street
278,Miami Rhapsody (1995),Comedy,Miami Rhapsody,"{'rhapsody', 'miami'}",Miami Rhapsody
